iso3,Year,Servers
AFG,2006,0.079416716
ALB,2006,1.6708175344
DZA,2006,0.1777813176
ASM,2006,
ADO,2006,419.8001751166
AGO,2006,0.3235989903
ATG,2006,1078.2704541915
ARG,2006,11.754668689
ARM,2006,2.6647471605
ABW,2006,357.0365962511
AUS,2006,579.0925649462
AUT,2006,284.3272552285
AZE,2006,0.4714451562
BHS,2006,136.9858934309
BHR,2006,43.5795613983
BGD,2006,0.0207126193
BRB,2006,192.6992437464
BLR,2006,0.5206164098
BEL,2006,145.5257975051
BLZ,2006,257.9526811602
BEN,2006,0.2368625097
BMU,2006,1813.306882817
BTN,2006,
BOL,2006,2.6929948203
BIH,2006,4.4288087234
BWA,2006,1.0550353938
BRA,2006,15.9623915986
VGB,2006,
BRN,2006,19.0139888632
BGR,2006,11.1702528374
BFA,2006,0.2168539622
BDI,2006,0.1216830716
CPV,2006,2.0908910332
KHM,2006,0.1478703709
CMR,2006,0.3226307917
CAN,2006,645.5533925556
CYM,2006,1019.429119693
CAF,2006,0.2423001847
TCD,2006,
CHI,2006,
CHL,2006,22.6048002768
CHN,2006,0.4485057436
COL,2006,6.1593570763
COM,2006,3.1554998785
ZAR,2006,0.0345263094
COG,2006,0.2774236773
CRI,2006,68.2326128681
CIV,2006,0.4868445936
HRV,2006,48.4234234234
CUB,2006,0.0886902307
CUW,2006,
CYP,2006,195.5560134428
CZE,2006,64.4600179414
DNK,2006,613.5429678707
DJI,2006,
DMA,2006,240.4866317725
DOM,2006,6.1890875076
ECU,2006,4.6536636146
EGY,2006,0.6948606598
SLV,2006,7.0380571209
GNQ,2006,
ERI,2006,
EST,2006,162.6064552535
ETH,2006,0.012700723
FRO,2006,
FJI,2006,13.2948186466
FIN,2006,379.965470804
FRA,2006,92.5789470508
PYF,2006,42.6801587702
GAB,2006,4.9683445476
GMB,2006,0.6721645244
GEO,2006,5.0773694391
DEU,2006,348.7647216072
GHA,2006,0.3188791344
GIB,2006,
GRC,2006,40.3797987761
GRL,2006,105.682178462
GRD,2006,58.106315188
GUM,2006,113.6155628073
GTM,2006,5.7820432125
GIN,2006,
GNB,2006,
GUY,2006,2.6892383405
HTI,2006,0.5313790487
HND,2006,4.5668428088
HKG,2006,194.3970483149
HUN,2006,35.8441800867
ISL,2006,1237.7296877366
IND,2006,0.709928838
IDN,2006,0.571393727
IRN,2006,0.3947934415
IRQ,2006,0.0360789629
IRL,2006,414.1715948017
IMY,2006,24.6578720256
ISR,2006,182.3156641195
ITA,2006,53.6426996164
JAM,2006,17.7155129847
JPN,2006,331.1433353669
JOR,2006,4.1589680551
KAZ,2006,1.1758493094
KEN,2006,0.4685000544
KIR,2006,
PRK,2006,
KOR,2006,60.014124716
KSV,2006,
KWT,2006,38.0833128967
KGZ,2006,0.9581480914
LAO,2006,0.1712669835
LVA,2006,47.3323274838
LBN,2006,9.8594024561
LSO,2006,
LBR,2006,
LBY,2006,0.169286402
LIE,2006,1792.7776671125
LTU,2006,27.2178828218
LUX,2006,569.1471467532
MAC,2006,62.5354367475
MKD,2006,1.9537641709
MDG,2006,0.1593529929
MWI,2006,0.1525275764
MYS,2006,16.982034987
MDV,2006,9.009009009
MLI,2006,0.150263615
MLT,2006,486.0501149743
MHL,2006,19.2012288786
MRT,2006,0.925422656
MUS,2006,18.6386341609
MEX,2006,9.3192078921
FSM,2006,18.9250567752
MDA,2006,4.7417040401
MCO,2006,959.748720335
MNG,2006,4.2994210634
MNE,2006,
MAR,2006,0.7819771471
MOZ,2006,0.1840107536
MMR,2006,0.0397175613
NAM,2006,7.7900010468
NRU,2006,
NPL,2006,0.6590592108
NLD,2006,412.5754514792
NCL,2006,72.3404255319
NZL,2006,587.8698083449
NIC,2006,3.3026207947
NER,2006,
NGA,2006,0.2511896429
MNP,2006,64.2725154656
NOR,2006,388.5701583697
OMN,2006,3.5247452784
PAK,2006,0.4408264335
PLW,2006,
PAN,2006,55.6443497307
PNG,2006,0.641420567
PRY,2006,1.3598973413
PER,2006,6.1180771721
PHL,2006,3.2308555058
POL,2006,38.0427844728
PRT,2006,65.6701280178
PRI,2006,34.1636501916
QAT,2006,23.2688011914
ROM,2006,7.1247386023
RUS,2006,3.1387730269
RWA,2006,
WSM,2006,5.5226650172
SMR,2006,473.4848484848
STP,2006,6.3863485414
SAU,2006,4.3273023589
SEN,2006,0.4318374771
SRB,2006,3.5080291366
SYC,2006,520.0945626478
SLE,2006,0.1907227132
SGP,2006,296.9533315233
SXM,2006,
SVK,2006,28.1031979206
SVN,2006,95.173175316
SLB,2006,4.1604606462
SOM,2006,
ZAF,2006,23.0375885511
SSD,2006,
ESP,2006,99.6006087665
LKA,2006,1.9979508197
KNA,2006,762.7765064836
LCA,2006,59.6459416901
MAF,2006,
VCT,2006,73.4564953906
SDN,2006,
SUR,2006,14.1142406639
SWZ,2006,4.4714560134
SWE,2006,404.8233000257
CHE,2006,576.969278457
SYR,2006,0.1601862432
TJK,2006,
TZA,2006,0.0248380269
THA,2006,5.7423944328
TMP,2006,
TGO,2006,0.3489077008
TON,2006,9.8515373324
TTO,2006,27.625560089
TUN,2006,5.9044816793
TUR,2006,26.1117427433
TKM,2006,
TCA,2006,
TUV,2006,
UGA,2006,0.0689633175
UKR,2006,1.8594610769
ARE,2006,48.7309173499
GBR,2006,557.0052798158
USA,2006,870.9735124528
URY,2006,30.3208516497
UZB,2006,0.1132577652
VUT,2006,83.8633028164
VEN,2006,5.1430449795
VNM,2006,0.1440382566
VIR,2006,213.556174559
WBG,2006,0.5871414841
YEM,2006,0.0474069062
ZMB,2006,0.0807655997
ZWE,2006,0.2285202052
AFG,2007,0.2318612616
ALB,2007,2.6935872758
DZA,2007,0.2334950316
ASM,2007,69.0798563139
ADO,2007,435.9197907585
AGO,2007,0.9382864502
ATG,2007,805.7158429802
ARG,2007,15.3865772454
ARM,2007,4.350565925
ABW,2007,385.3069612124
AUS,2007,814.832241833
AUT,2007,400.3381597729
AZE,2007,0.5826623006
BHS,2007,175.3058356391
BHR,2007,40.91302281
BGD,2007,0.0409297361
BRB,2007,249.8605850359
BLR,2007,1.1506276151
BEL,2007,192.0814628683
BLZ,2007,264.7426466892
BEN,2007,0.1148417188
BMU,2007,2065.0967821477
BTN,2007,
BOL,2007,3.8129607195
BIH,2007,5.9889314132
BWA,2007,1.5540570992
BRA,2007,20.0067929728
VGB,2007,
BRN,2007,29.3757126948
BGR,2007,17.6267782835
BFA,2007,0.1402131043
BDI,2007,0.2348912653
CPV,2007,2.0778011877
KHM,2007,0.5098807607
CMR,2007,0.3669128477
CAN,2007,814.5542035971
CYM,2007,1301.4763014763
CAF,2007,
TCD,2007,
CHI,2007,
CHL,2007,29.278306154
CHN,2007,0.6829123937
COL,2007,7.9775282494
COM,2007,1.539873484
ZAR,2007,0.0835633065
COG,2007,0.5382616571
CRI,2007,92.4598320389
CIV,2007,0.5301616378
HRV,2007,75.2930568079
CUB,2007,0.0886207187
CUW,2007,
CYP,2007,293.4978928356
CZE,2007,104.9633997189
DNK,2007,805.0993163339
DJI,2007,1.2510806209
DMA,2007,395.5081573557
DOM,2007,10.2058681427
ECU,2007,6.8283512298
EGY,2007,0.8246856559
SLV,2007,8.8533803375
GNQ,2007,
ERI,2007,
EST,2007,214.8163618462
ETH,2007,0.0123621668
FRO,2007,
FJI,2007,15.5739168041
FIN,2007,542.8534692704
FRA,2007,135.5281330301
PYF,2007,53.7714941946
GAB,2007,3.4700486223
GMB,2007,1.3017240033
GEO,2007,8.3292503675
DEU,2007,459.5194741297
GHA,2007,0.4438912376
GIB,2007,
GRC,2007,53.310534406
GRL,2007,212.1828308726
GRD,2007,67.5760471874
GUM,2007,145.2643811737
GTM,2007,6.6678122741
GIN,2007,
GNB,2007,
GUY,2007,2.68226673
HTI,2007,0.5231790283
HND,2007,4.7660854332
HKG,2007,241.3139973685
HUN,2007,58.9710594305
ISL,2007,1418.6400313256
IND,2007,0.9502531611
IDN,2007,0.7275174612
IRN,2007,0.3067447923
IRQ,2007,
IRL,2007,547.4043531376
IMY,2007,109.8713284664
ISR,2007,227.9912536037
ITA,2007,74.0952296533
JAM,2007,28.544804639
JPN,2007,398.5359489379
JOR,2007,5.9033681146
KAZ,2007,1.0333119093
KEN,2007,0.832202701
KIR,2007,
PRK,2007,
KOR,2007,497.4931710693
KSV,2007,
KWT,2007,53.1791060474
KGZ,2007,0.9490547415
LAO,2007,0.6734421683
LVA,2007,69.0807039869
LBN,2007,11.0147632095
LSO,2007,0.5113373722
LBR,2007,
LBY,2007,0.1661738504
LIE,2007,2145.0142530552
LTU,2007,53.8483963391
LUX,2007,737.5107553652
MAC,2007,93.3021244488
MKD,2007,5.8495866536
MDG,2007,0.2064939135
MWI,2007,0.148165961
MYS,2007,21.922435207
MDV,2007,31.5186246418
MLI,2007,0.2907140271
MLT,2007,703.1795517353
MHL,2007,19.1806045727
MRT,2007,1.8027302349
MUS,2007,42.7546929326
MEX,2007,12.4094729391
FSM,2007,19.0331176247
MDA,2007,4.473134633
MCO,2007,970.1535125264
MNG,2007,7.3280530212
MNE,2007,
MAR,2007,1.0641274822
MOZ,2007,0.223617226
MMR,2007,0.0197243273
NAM,2007,9.6007342642
NRU,2007,
NPL,2007,0.997559088
NLD,2007,780.5052663656
NCL,2007,96.6386554622
NZL,2007,829.3479804915
NIC,2007,6.3381466426
NER,2007,0.1376686949
NGA,2007,0.4892883167
MNP,2007,83.6246257798
NOR,2007,621.9802159751
OMN,2007,5.7831325301
PAK,2007,0.4193589301
PLW,2007,
PAN,2007,75.0349435987
PNG,2007,0.7827825414
PRY,2007,3.0170159701
PER,2007,8.5887672779
PHL,2007,3.9341089358
POL,2007,55.1933130048
PRT,2007,87.0722882104
PRI,2007,48.1100292229
QAT,2007,34.7765605982
ROM,2007,11.6841550694
RUS,2007,4.4396177257
RWA,2007,
WSM,2007,21.9493190224
SMR,2007,803.3741715204
STP,2007,12.4950019992
SAU,2007,6.1341409339
SEN,2007,3.1940207931
SRB,2007,5.1479500524
SYC,2007,540.9664483201
SLE,2007,0.7419625057
SGP,2007,359.58688044
SXM,2007,
SVK,2007,42.421587974
SVN,2007,139.2383612091
SLB,2007,2.032210537
SOM,2007,0.1122458543
ZAF,2007,30.3929595598
SSD,2007,
ESP,2007,141.6195613031
LKA,2007,2.5930445394
KNA,2007,1050.2328346379
LCA,2007,52.8957483573
MAF,2007,
VCT,2007,100.872085026
SDN,2007,0.0235552089
SUR,2007,9.9809762592
SWZ,2007,4.40585697
SWE,2007,600.6717029081
CHE,2007,812.7274415163
SYR,2007,0.1029569387
TJK,2007,
TZA,2007,0.072250848
THA,2007,7.1284783282
TMP,2007,
TGO,2007,0.6790694169
TON,2007,9.7877046854
TTO,2007,42.0084627958
TUN,2007,8.8996684629
TUR,2007,40.5377264682
TKM,2007,
TCA,2007,
TUV,2007,
UGA,2007,0.0666845426
UKR,2007,2.8381389979
ARE,2007,69.3832049384
GBR,2007,750.312328453
USA,2007,1061.7625019177
URY,2007,37.427951194
UZB,2007,0.1488759863
VUT,2007,159.1227336376
VEN,2007,6.1798311345
VNM,2007,0.6055676603
VIR,2007,279.2698025563
WBG,2007,0.8584928985
YEM,2007,0.0921612056
ZMB,2007,0.0785010938
ZWE,2007,0.3008016816
